"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 12:26:22 GMT 2021","Mon Aug 23 12:26:43 GMT 2021","20345","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 12:27:43 GMT 2021","Mon Aug 23 12:28:03 GMT 2021","20006","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 12:26:43 GMT 2021","Mon Aug 23 12:27:03 GMT 2021","20009","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 12:29:23 GMT 2021","Mon Aug 23 12:29:43 GMT 2021","20005","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 12:28:23 GMT 2021","Mon Aug 23 12:28:43 GMT 2021","20005","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 12:28:03 GMT 2021","Mon Aug 23 12:28:23 GMT 2021","20006","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 12:28:43 GMT 2021","Mon Aug 23 12:29:03 GMT 2021","20005","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 12:29:03 GMT 2021","Mon Aug 23 12:29:23 GMT 2021","20005","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"skipped","Mon Aug 23 12:29:23 GMT 2021","Mon Aug 23 12:29:23 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 12:27:03 GMT 2021","Mon Aug 23 12:27:23 GMT 2021","20040","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 12:27:23 GMT 2021","Mon Aug 23 12:27:43 GMT 2021","20009","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
