"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 06:53:47 GMT 2021","Mon Aug 23 06:53:57 GMT 2021","10418","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 06:52:22 GMT 2021","Mon Aug 23 06:52:33 GMT 2021","10462","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 06:53:36 GMT 2021","Mon Aug 23 06:53:47 GMT 2021","10425","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 06:52:33 GMT 2021","Mon Aug 23 06:52:43 GMT 2021","10559","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 06:53:26 GMT 2021","Mon Aug 23 06:53:36 GMT 2021","10578","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 06:53:15 GMT 2021","Mon Aug 23 06:53:26 GMT 2021","10769","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"skipped","Mon Aug 23 06:53:47 GMT 2021","Mon Aug 23 06:53:47 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 06:52:43 GMT 2021","Mon Aug 23 06:52:54 GMT 2021","10570","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 06:53:04 GMT 2021","Mon Aug 23 06:53:15 GMT 2021","10570","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 06:52:11 GMT 2021","Mon Aug 23 06:52:22 GMT 2021","10975","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 06:52:54 GMT 2021","Mon Aug 23 06:53:04 GMT 2021","10521","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
