"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 12:07:42 GMT 2021","Fri Aug 20 12:07:44 GMT 2021","2122","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Fri Aug 20 12:07:25 GMT 2021","Fri Aug 20 12:07:31 GMT 2021","6250","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Fri Aug 20 12:07:32 GMT 2021","Fri Aug 20 12:07:34 GMT 2021","1582","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"skipped","Fri Aug 20 12:07:49 GMT 2021","Fri Aug 20 12:07:49 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Fri Aug 20 12:07:46 GMT 2021","Fri Aug 20 12:07:49 GMT 2021","2845","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Fri Aug 20 12:07:37 GMT 2021","Fri Aug 20 12:07:39 GMT 2021","1991","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Fri Aug 20 12:07:49 GMT 2021","Fri Aug 20 12:07:52 GMT 2021","2475","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Fri Aug 20 12:07:35 GMT 2021","Fri Aug 20 12:07:37 GMT 2021","2041","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Fri Aug 20 12:07:34 GMT 2021","Fri Aug 20 12:07:35 GMT 2021","1588","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Fri Aug 20 12:07:39 GMT 2021","Fri Aug 20 12:07:42 GMT 2021","2084","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Fri Aug 20 12:07:44 GMT 2021","Fri Aug 20 12:07:46 GMT 2021","2457","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
