"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 13:45:59 GMT 2021","Sun Aug 22 13:46:07 GMT 2021","7646","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"skipped","Sun Aug 22 13:46:07 GMT 2021","Sun Aug 22 13:46:07 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 13:45:23 GMT 2021","Sun Aug 22 13:45:30 GMT 2021","6996","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sun Aug 22 13:45:51 GMT 2021","Sun Aug 22 13:45:59 GMT 2021","7440","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 13:45:16 GMT 2021","Sun Aug 22 13:45:23 GMT 2021","6810","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 13:44:57 GMT 2021","Sun Aug 22 13:45:09 GMT 2021","11843","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sun Aug 22 13:45:30 GMT 2021","Sun Aug 22 13:45:37 GMT 2021","6962","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sun Aug 22 13:45:37 GMT 2021","Sun Aug 22 13:45:44 GMT 2021","6996","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sun Aug 22 13:45:10 GMT 2021","Sun Aug 22 13:45:16 GMT 2021","6681","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sun Aug 22 13:46:07 GMT 2021","Sun Aug 22 13:46:15 GMT 2021","8050","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()","Description"
"broken","Sun Aug 22 13:45:44 GMT 2021","Sun Aug 22 13:45:51 GMT 2021","7206","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
