"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 12:36:16 GMT 2021","Fri Aug 20 12:36:51 GMT 2021","34972","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Fri Aug 20 12:34:35 GMT 2021","Fri Aug 20 12:35:08 GMT 2021","32075","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Fri Aug 20 12:35:44 GMT 2021","Fri Aug 20 12:36:16 GMT 2021","32573","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Fri Aug 20 12:32:56 GMT 2021","Fri Aug 20 12:33:28 GMT 2021","31900","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Fri Aug 20 12:33:28 GMT 2021","Fri Aug 20 12:34:01 GMT 2021","33593","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Fri Aug 20 12:36:51 GMT 2021","Fri Aug 20 12:37:28 GMT 2021","36540","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Fri Aug 20 12:35:08 GMT 2021","Fri Aug 20 12:35:44 GMT 2021","36193","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Fri Aug 20 12:34:01 GMT 2021","Fri Aug 20 12:34:35 GMT 2021","34027","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Fri Aug 20 12:31:45 GMT 2021","Fri Aug 20 12:32:23 GMT 2021","38044","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"skipped","Fri Aug 20 12:36:51 GMT 2021","Fri Aug 20 12:36:51 GMT 2021","1","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Fri Aug 20 12:32:23 GMT 2021","Fri Aug 20 12:32:56 GMT 2021","32478","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
