"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 13:34:25 GMT 2021","Sat Aug 21 13:34:34 GMT 2021","9432","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sat Aug 21 13:34:38 GMT 2021","Sat Aug 21 13:34:41 GMT 2021","2759","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sat Aug 21 13:34:43 GMT 2021","Sat Aug 21 13:34:46 GMT 2021","2933","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sat Aug 21 13:34:40 GMT 2021","Sat Aug 21 13:34:43 GMT 2021","3204","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sat Aug 21 13:34:37 GMT 2021","Sat Aug 21 13:34:40 GMT 2021","2516","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sat Aug 21 13:34:36 GMT 2021","Sat Aug 21 13:34:38 GMT 2021","2532","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"skipped","Sat Aug 21 13:34:49 GMT 2021","Sat Aug 21 13:34:49 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sat Aug 21 13:34:34 GMT 2021","Sat Aug 21 13:34:37 GMT 2021","2687","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sat Aug 21 13:34:25 GMT 2021","Sat Aug 21 13:34:34 GMT 2021","8481","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sat Aug 21 13:34:46 GMT 2021","Sat Aug 21 13:34:49 GMT 2021","2911","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sat Aug 21 13:34:49 GMT 2021","Sat Aug 21 13:34:55 GMT 2021","5657","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
