"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 12:26:42 GMT 2021","Thu Aug 19 12:26:44 GMT 2021","2576","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Thu Aug 19 12:27:04 GMT 2021","Thu Aug 19 12:27:08 GMT 2021","3325","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Thu Aug 19 12:26:45 GMT 2021","Thu Aug 19 12:26:47 GMT 2021","2448","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Thu Aug 19 12:26:28 GMT 2021","Thu Aug 19 12:26:35 GMT 2021","7133","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Thu Aug 19 12:26:50 GMT 2021","Thu Aug 19 12:26:53 GMT 2021","3313","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Thu Aug 19 12:26:37 GMT 2021","Thu Aug 19 12:26:40 GMT 2021","2293","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Thu Aug 19 12:26:53 GMT 2021","Thu Aug 19 12:27:04 GMT 2021","10739","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"skipped","Thu Aug 19 12:27:04 GMT 2021","Thu Aug 19 12:27:04 GMT 2021","10","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Thu Aug 19 12:26:40 GMT 2021","Thu Aug 19 12:26:42 GMT 2021","2092","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Thu Aug 19 12:26:47 GMT 2021","Thu Aug 19 12:26:50 GMT 2021","2936","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Thu Aug 19 12:26:35 GMT 2021","Thu Aug 19 12:26:37 GMT 2021","1867","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
