"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 07:24:29 GMT 2021","Mon Aug 23 07:24:49 GMT 2021","20543","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 07:25:10 GMT 2021","Mon Aug 23 07:25:30 GMT 2021","20629","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 07:24:49 GMT 2021","Mon Aug 23 07:25:10 GMT 2021","20348","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 07:26:31 GMT 2021","Mon Aug 23 07:26:52 GMT 2021","20803","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"skipped","Mon Aug 23 07:26:31 GMT 2021","Mon Aug 23 07:26:31 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 07:24:08 GMT 2021","Mon Aug 23 07:24:29 GMT 2021","20387","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 07:25:51 GMT 2021","Mon Aug 23 07:26:11 GMT 2021","20401","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 07:26:11 GMT 2021","Mon Aug 23 07:26:31 GMT 2021","20351","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 07:23:27 GMT 2021","Mon Aug 23 07:23:48 GMT 2021","20921","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 07:25:30 GMT 2021","Mon Aug 23 07:25:51 GMT 2021","20397","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 07:23:48 GMT 2021","Mon Aug 23 07:24:08 GMT 2021","20451","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
