"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 14:53:41 GMT 2021","Sun Aug 22 14:54:06 GMT 2021","25588","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 14:51:17 GMT 2021","Sun Aug 22 14:51:53 GMT 2021","35789","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sun Aug 22 14:54:06 GMT 2021","Sun Aug 22 14:54:32 GMT 2021","25460","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sun Aug 22 14:52:29 GMT 2021","Sun Aug 22 14:53:05 GMT 2021","35950","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sun Aug 22 14:51:53 GMT 2021","Sun Aug 22 14:52:29 GMT 2021","35911","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"skipped","Sun Aug 22 14:54:32 GMT 2021","Sun Aug 22 14:54:32 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 14:50:15 GMT 2021","Sun Aug 22 14:50:41 GMT 2021","26201","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sun Aug 22 14:53:05 GMT 2021","Sun Aug 22 14:53:41 GMT 2021","36189","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sun Aug 22 14:54:32 GMT 2021","Sun Aug 22 14:55:08 GMT 2021","35815","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sun Aug 22 14:50:41 GMT 2021","Sun Aug 22 14:51:17 GMT 2021","35529","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 14:49:48 GMT 2021","Sun Aug 22 14:50:15 GMT 2021","26689","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
