"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 23 07:04:24 GMT 2021","Mon Aug 23 07:04:24 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 07:04:02 GMT 2021","Mon Aug 23 07:04:14 GMT 2021","12107","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 07:04:56 GMT 2021","Mon Aug 23 07:05:07 GMT 2021","10533","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 07:04:46 GMT 2021","Mon Aug 23 07:04:56 GMT 2021","10488","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 07:04:25 GMT 2021","Mon Aug 23 07:04:35 GMT 2021","10614","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 07:04:14 GMT 2021","Mon Aug 23 07:04:25 GMT 2021","10569","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 07:04:01 GMT 2021","Mon Aug 23 07:04:13 GMT 2021","12021","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 07:04:13 GMT 2021","Mon Aug 23 07:04:24 GMT 2021","10655","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 07:04:24 GMT 2021","Mon Aug 23 07:04:35 GMT 2021","10864","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 07:05:07 GMT 2021","Mon Aug 23 07:05:17 GMT 2021","10444","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 07:04:35 GMT 2021","Mon Aug 23 07:04:46 GMT 2021","10587","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
