"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 13:55:21 GMT 2021","Sun Aug 22 13:55:26 GMT 2021","5413","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sun Aug 22 13:55:09 GMT 2021","Sun Aug 22 13:55:15 GMT 2021","5639","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 13:55:15 GMT 2021","Sun Aug 22 13:55:21 GMT 2021","5549","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"skipped","Sun Aug 22 13:55:48 GMT 2021","Sun Aug 22 13:55:48 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 13:55:26 GMT 2021","Sun Aug 22 13:55:31 GMT 2021","5361","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sun Aug 22 13:55:31 GMT 2021","Sun Aug 22 13:55:37 GMT 2021","5477","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sun Aug 22 13:55:48 GMT 2021","Sun Aug 22 13:55:53 GMT 2021","5517","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sun Aug 22 13:55:42 GMT 2021","Sun Aug 22 13:55:48 GMT 2021","5359","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sun Aug 22 13:55:37 GMT 2021","Sun Aug 22 13:55:42 GMT 2021","5403","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 13:54:58 GMT 2021","Sun Aug 22 13:55:04 GMT 2021","6226","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sun Aug 22 13:55:04 GMT 2021","Sun Aug 22 13:55:09 GMT 2021","5453","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
