"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 12:08:45 GMT 2021","Mon Aug 23 12:09:06 GMT 2021","20609","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 12:08:24 GMT 2021","Mon Aug 23 12:08:45 GMT 2021","20787","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 12:09:06 GMT 2021","Mon Aug 23 12:09:14 GMT 2021","8130","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 12:09:14 GMT 2021","Mon Aug 23 12:09:27 GMT 2021","12956","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 12:07:23 GMT 2021","Mon Aug 23 12:07:30 GMT 2021","7010","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 12:07:50 GMT 2021","Mon Aug 23 12:08:07 GMT 2021","16838","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 12:07:31 GMT 2021","Mon Aug 23 12:07:50 GMT 2021","19416","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"skipped","Mon Aug 23 12:09:27 GMT 2021","Mon Aug 23 12:09:27 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 12:08:07 GMT 2021","Mon Aug 23 12:08:24 GMT 2021","17373","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 12:09:27 GMT 2021","Mon Aug 23 12:09:30 GMT 2021","3107","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 12:07:08 GMT 2021","Mon Aug 23 12:07:23 GMT 2021","14203","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
