"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 13:53:50 GMT 2021","Sat Aug 21 13:53:51 GMT 2021","1010","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sat Aug 21 13:53:51 GMT 2021","Sat Aug 21 13:53:52 GMT 2021","997","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sat Aug 21 13:53:47 GMT 2021","Sat Aug 21 13:53:48 GMT 2021","478","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"skipped","Sat Aug 21 13:53:54 GMT 2021","Sat Aug 21 13:53:54 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sat Aug 21 13:53:48 GMT 2021","Sat Aug 21 13:53:49 GMT 2021","718","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sat Aug 21 13:53:54 GMT 2021","Sat Aug 21 13:53:55 GMT 2021","1366","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sat Aug 21 13:53:53 GMT 2021","Sat Aug 21 13:53:54 GMT 2021","1141","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sat Aug 21 13:53:52 GMT 2021","Sat Aug 21 13:53:53 GMT 2021","1025","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sat Aug 21 13:53:48 GMT 2021","Sat Aug 21 13:53:48 GMT 2021","509","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sat Aug 21 13:53:34 GMT 2021","Sat Aug 21 13:53:47 GMT 2021","13330","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sat Aug 21 13:53:49 GMT 2021","Sat Aug 21 13:53:50 GMT 2021","744","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
