"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:43:40 GMT 2021","Mon Aug 23 13:44:41 GMT 2021","60668","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 13:36:34 GMT 2021","Mon Aug 23 13:37:35 GMT 2021","61533","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 13:42:40 GMT 2021","Mon Aug 23 13:43:40 GMT 2021","60466","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 13:39:37 GMT 2021","Mon Aug 23 13:40:38 GMT 2021","60835","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 13:37:35 GMT 2021","Mon Aug 23 13:38:36 GMT 2021","60801","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 13:41:39 GMT 2021","Mon Aug 23 13:42:40 GMT 2021","60883","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"skipped","Mon Aug 23 13:45:41 GMT 2021","Mon Aug 23 13:45:41 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 13:44:41 GMT 2021","Mon Aug 23 13:45:41 GMT 2021","60404","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 13:45:41 GMT 2021","Mon Aug 23 13:46:42 GMT 2021","60558","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 13:38:36 GMT 2021","Mon Aug 23 13:39:37 GMT 2021","60990","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 13:40:38 GMT 2021","Mon Aug 23 13:41:39 GMT 2021","60724","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
