"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 12:17:06 GMT 2021","Fri Aug 20 12:17:39 GMT 2021","33550","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Fri Aug 20 12:15:16 GMT 2021","Fri Aug 20 12:15:22 GMT 2021","6179","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Fri Aug 20 12:18:17 GMT 2021","Fri Aug 20 12:18:50 GMT 2021","33011","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Fri Aug 20 12:17:39 GMT 2021","Fri Aug 20 12:18:12 GMT 2021","32380","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Fri Aug 20 12:15:58 GMT 2021","Fri Aug 20 12:16:33 GMT 2021","35253","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Fri Aug 20 12:15:23 GMT 2021","Fri Aug 20 12:15:25 GMT 2021","1912","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"skipped","Fri Aug 20 12:18:17 GMT 2021","Fri Aug 20 12:18:17 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Fri Aug 20 12:18:14 GMT 2021","Fri Aug 20 12:18:17 GMT 2021","2666","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Fri Aug 20 12:15:25 GMT 2021","Fri Aug 20 12:15:58 GMT 2021","33022","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Fri Aug 20 12:18:12 GMT 2021","Fri Aug 20 12:18:14 GMT 2021","2702","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Fri Aug 20 12:16:33 GMT 2021","Fri Aug 20 12:17:06 GMT 2021","32568","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
