"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 12:36:53 GMT 2021","Mon Aug 23 12:37:08 GMT 2021","15409","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 12:36:10 GMT 2021","Mon Aug 23 12:36:16 GMT 2021","6005","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 12:36:37 GMT 2021","Mon Aug 23 12:36:53 GMT 2021","15427","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 12:37:50 GMT 2021","Mon Aug 23 12:38:06 GMT 2021","15705","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"skipped","Mon Aug 23 12:37:50 GMT 2021","Mon Aug 23 12:37:50 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 12:37:24 GMT 2021","Mon Aug 23 12:37:39 GMT 2021","15420","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 12:37:08 GMT 2021","Mon Aug 23 12:37:24 GMT 2021","15623","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 12:37:39 GMT 2021","Mon Aug 23 12:37:45 GMT 2021","5443","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 12:36:16 GMT 2021","Mon Aug 23 12:36:22 GMT 2021","5453","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 12:36:22 GMT 2021","Mon Aug 23 12:36:37 GMT 2021","15469","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 12:37:45 GMT 2021","Mon Aug 23 12:37:50 GMT 2021","5421","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
