"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","16","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","3","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","104","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","3","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","16","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"skipped","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","2","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","2","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","3","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","10","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 12:30:08 GMT 2021","Mon Aug 23 12:30:08 GMT 2021","6","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
