"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 13:59:21 GMT 2021","Sat Aug 21 13:59:33 GMT 2021","12141","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sat Aug 21 13:59:46 GMT 2021","Sat Aug 21 13:59:53 GMT 2021","6712","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sat Aug 21 13:59:34 GMT 2021","Sat Aug 21 13:59:40 GMT 2021","5591","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sat Aug 21 13:59:21 GMT 2021","Sat Aug 21 13:59:39 GMT 2021","17562","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sat Aug 21 13:59:59 GMT 2021","Sat Aug 21 14:00:00 GMT 2021","1184","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sat Aug 21 14:00:00 GMT 2021","Sat Aug 21 14:00:02 GMT 2021","1080","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sat Aug 21 13:59:39 GMT 2021","Sat Aug 21 13:59:45 GMT 2021","6436","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sat Aug 21 13:59:33 GMT 2021","Sat Aug 21 13:59:34 GMT 2021","675","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"skipped","Sat Aug 21 14:00:02 GMT 2021","Sat Aug 21 14:00:02 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sat Aug 21 13:59:40 GMT 2021","Sat Aug 21 13:59:46 GMT 2021","6633","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sat Aug 21 13:59:53 GMT 2021","Sat Aug 21 13:59:59 GMT 2021","6298","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
