"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 07:12:49 GMT 2021","Mon Aug 23 07:13:06 GMT 2021","17040","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 07:13:06 GMT 2021","Mon Aug 23 07:13:22 GMT 2021","15581","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 07:14:08 GMT 2021","Mon Aug 23 07:14:23 GMT 2021","15423","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 07:14:23 GMT 2021","Mon Aug 23 07:14:39 GMT 2021","15499","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 07:12:49 GMT 2021","Mon Aug 23 07:13:06 GMT 2021","16957","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 07:14:54 GMT 2021","Mon Aug 23 07:15:10 GMT 2021","15724","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 07:13:37 GMT 2021","Mon Aug 23 07:13:53 GMT 2021","15529","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 07:13:22 GMT 2021","Mon Aug 23 07:13:37 GMT 2021","15461","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 07:13:53 GMT 2021","Mon Aug 23 07:14:08 GMT 2021","15395","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"skipped","Mon Aug 23 07:14:54 GMT 2021","Mon Aug 23 07:14:54 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 07:14:39 GMT 2021","Mon Aug 23 07:14:54 GMT 2021","15409","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
