"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 15:22:07 GMT 2021","Sat Aug 21 15:22:13 GMT 2021","5449","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sat Aug 21 15:22:48 GMT 2021","Sat Aug 21 15:22:55 GMT 2021","6809","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sat Aug 21 15:22:13 GMT 2021","Sat Aug 21 15:22:18 GMT 2021","5470","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sat Aug 21 15:22:18 GMT 2021","Sat Aug 21 15:22:24 GMT 2021","5823","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sat Aug 21 15:21:47 GMT 2021","Sat Aug 21 15:22:02 GMT 2021","14912","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sat Aug 21 15:22:30 GMT 2021","Sat Aug 21 15:22:36 GMT 2021","5753","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sat Aug 21 15:22:36 GMT 2021","Sat Aug 21 15:22:42 GMT 2021","6418","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"skipped","Sat Aug 21 15:22:48 GMT 2021","Sat Aug 21 15:22:48 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sat Aug 21 15:22:24 GMT 2021","Sat Aug 21 15:22:30 GMT 2021","5753","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sat Aug 21 15:22:42 GMT 2021","Sat Aug 21 15:22:48 GMT 2021","6191","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sat Aug 21 15:22:02 GMT 2021","Sat Aug 21 15:22:07 GMT 2021","5532","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
