"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 13:39:08 GMT 2021","Sat Aug 21 13:39:10 GMT 2021","1819","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sat Aug 21 13:39:06 GMT 2021","Sat Aug 21 13:39:08 GMT 2021","2045","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sat Aug 21 13:39:27 GMT 2021","Sat Aug 21 13:39:31 GMT 2021","3653","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sat Aug 21 13:39:12 GMT 2021","Sat Aug 21 13:39:15 GMT 2021","2315","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sat Aug 21 13:39:15 GMT 2021","Sat Aug 21 13:39:18 GMT 2021","3060","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sat Aug 21 13:39:21 GMT 2021","Sat Aug 21 13:39:24 GMT 2021","3112","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"skipped","Sat Aug 21 13:39:27 GMT 2021","Sat Aug 21 13:39:27 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sat Aug 21 13:39:24 GMT 2021","Sat Aug 21 13:39:27 GMT 2021","3059","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sat Aug 21 13:38:57 GMT 2021","Sat Aug 21 13:39:05 GMT 2021","8173","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sat Aug 21 13:39:18 GMT 2021","Sat Aug 21 13:39:21 GMT 2021","2653","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sat Aug 21 13:39:10 GMT 2021","Sat Aug 21 13:39:12 GMT 2021","2365","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
