"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 12:42:59 GMT 2021","Sun Aug 22 12:43:20 GMT 2021","21073","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sun Aug 22 12:41:13 GMT 2021","Sun Aug 22 12:41:33 GMT 2021","20608","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sun Aug 22 12:42:36 GMT 2021","Sun Aug 22 12:42:59 GMT 2021","22443","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 12:40:04 GMT 2021","Sun Aug 22 12:40:32 GMT 2021","27904","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sun Aug 22 12:41:54 GMT 2021","Sun Aug 22 12:42:14 GMT 2021","20491","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"skipped","Sun Aug 22 12:43:20 GMT 2021","Sun Aug 22 12:43:20 GMT 2021","1","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 12:42:14 GMT 2021","Sun Aug 22 12:42:36 GMT 2021","22057","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sun Aug 22 12:40:52 GMT 2021","Sun Aug 22 12:41:13 GMT 2021","20596","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 12:41:33 GMT 2021","Sun Aug 22 12:41:54 GMT 2021","20441","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sun Aug 22 12:40:32 GMT 2021","Sun Aug 22 12:40:52 GMT 2021","20554","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sun Aug 22 12:43:20 GMT 2021","Sun Aug 22 12:43:42 GMT 2021","21755","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
