"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 13:20:37 GMT 2021","Sun Aug 22 13:20:44 GMT 2021","6206","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 13:20:15 GMT 2021","Sun Aug 22 13:20:20 GMT 2021","5559","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sun Aug 22 13:20:50 GMT 2021","Sun Aug 22 13:20:56 GMT 2021","6460","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()","Description"
"broken","Sun Aug 22 13:20:31 GMT 2021","Sun Aug 22 13:20:37 GMT 2021","5847","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"skipped","Sun Aug 22 13:20:50 GMT 2021","Sun Aug 22 13:20:50 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 13:19:45 GMT 2021","Sun Aug 22 13:20:03 GMT 2021","18232","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sun Aug 22 13:20:09 GMT 2021","Sun Aug 22 13:20:15 GMT 2021","5640","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 13:20:26 GMT 2021","Sun Aug 22 13:20:31 GMT 2021","5622","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sun Aug 22 13:20:44 GMT 2021","Sun Aug 22 13:20:50 GMT 2021","6295","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sun Aug 22 13:20:20 GMT 2021","Sun Aug 22 13:20:26 GMT 2021","5622","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sun Aug 22 13:20:03 GMT 2021","Sun Aug 22 13:20:09 GMT 2021","5579","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
