"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 15:28:58 GMT 2021","Sat Aug 21 15:29:06 GMT 2021","8455","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sat Aug 21 15:27:51 GMT 2021","Sat Aug 21 15:28:02 GMT 2021","11054","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sat Aug 21 15:27:32 GMT 2021","Sat Aug 21 15:27:45 GMT 2021","12720","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sat Aug 21 15:28:25 GMT 2021","Sat Aug 21 15:28:37 GMT 2021","11957","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sat Aug 21 15:27:45 GMT 2021","Sat Aug 21 15:27:51 GMT 2021","5487","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sat Aug 21 15:28:37 GMT 2021","Sat Aug 21 15:28:49 GMT 2021","12298","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sat Aug 21 15:28:49 GMT 2021","Sat Aug 21 15:28:58 GMT 2021","8586","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sat Aug 21 15:28:02 GMT 2021","Sat Aug 21 15:28:13 GMT 2021","11539","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sat Aug 21 15:28:13 GMT 2021","Sat Aug 21 15:28:25 GMT 2021","11686","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sat Aug 21 15:29:07 GMT 2021","Sat Aug 21 15:29:31 GMT 2021","24821","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"skipped","Sat Aug 21 15:29:07 GMT 2021","Sat Aug 21 15:29:07 GMT 2021","1","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
