"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 12:09:29 GMT 2021","Thu Aug 19 12:09:29 GMT 2021","318","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Thu Aug 19 12:09:27 GMT 2021","Thu Aug 19 12:09:28 GMT 2021","287","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Thu Aug 19 12:09:28 GMT 2021","Thu Aug 19 12:09:28 GMT 2021","279","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Thu Aug 19 12:09:29 GMT 2021","Thu Aug 19 12:09:29 GMT 2021","206","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Thu Aug 19 12:09:26 GMT 2021","Thu Aug 19 12:09:27 GMT 2021","1125","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Thu Aug 19 12:09:29 GMT 2021","Thu Aug 19 12:09:30 GMT 2021","180","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Thu Aug 19 12:09:30 GMT 2021","Thu Aug 19 12:09:30 GMT 2021","235","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Thu Aug 19 12:09:28 GMT 2021","Thu Aug 19 12:09:28 GMT 2021","189","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Thu Aug 19 12:09:28 GMT 2021","Thu Aug 19 12:09:29 GMT 2021","247","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Thu Aug 19 12:09:28 GMT 2021","Thu Aug 19 12:09:28 GMT 2021","253","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Thu Aug 19 12:09:30 GMT 2021","Thu Aug 19 12:09:30 GMT 2021","228","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
