"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 12:50:28 GMT 2021","Fri Aug 20 12:50:30 GMT 2021","2512","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Fri Aug 20 12:50:30 GMT 2021","Fri Aug 20 12:50:33 GMT 2021","2692","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Fri Aug 20 12:50:39 GMT 2021","Fri Aug 20 12:50:43 GMT 2021","3086","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Fri Aug 20 12:50:19 GMT 2021","Fri Aug 20 12:50:27 GMT 2021","7751","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Fri Aug 20 12:50:19 GMT 2021","Fri Aug 20 12:50:27 GMT 2021","7965","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Fri Aug 20 12:50:31 GMT 2021","Fri Aug 20 12:50:33 GMT 2021","2652","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Fri Aug 20 12:50:36 GMT 2021","Fri Aug 20 12:50:39 GMT 2021","3032","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Fri Aug 20 12:50:28 GMT 2021","Fri Aug 20 12:50:30 GMT 2021","2467","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Fri Aug 20 12:50:33 GMT 2021","Fri Aug 20 12:50:36 GMT 2021","2745","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Fri Aug 20 12:50:33 GMT 2021","Fri Aug 20 12:50:36 GMT 2021","2966","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"skipped","Fri Aug 20 12:50:39 GMT 2021","Fri Aug 20 12:50:39 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
