"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 15:05:52 GMT 2021","Sun Aug 22 15:06:03 GMT 2021","10459","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Sun Aug 22 15:06:03 GMT 2021","Sun Aug 22 15:06:13 GMT 2021","10612","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sun Aug 22 15:05:31 GMT 2021","Sun Aug 22 15:05:42 GMT 2021","10773","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Sun Aug 22 15:05:42 GMT 2021","Sun Aug 22 15:05:52 GMT 2021","10517","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 15:06:34 GMT 2021","Sun Aug 22 15:06:44 GMT 2021","10441","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 15:05:19 GMT 2021","Sun Aug 22 15:05:31 GMT 2021","11264","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sun Aug 22 15:06:13 GMT 2021","Sun Aug 22 15:06:24 GMT 2021","10459","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"skipped","Sun Aug 22 15:06:55 GMT 2021","Sun Aug 22 15:06:55 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 15:06:55 GMT 2021","Sun Aug 22 15:07:06 GMT 2021","10484","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sun Aug 22 15:06:24 GMT 2021","Sun Aug 22 15:06:34 GMT 2021","10438","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sun Aug 22 15:06:45 GMT 2021","Sun Aug 22 15:06:55 GMT 2021","10513","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
