"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 14:01:25 GMT 2021","Fri Aug 20 14:01:27 GMT 2021","1711","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Fri Aug 20 14:01:39 GMT 2021","Fri Aug 20 14:01:41 GMT 2021","2808","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Fri Aug 20 14:01:42 GMT 2021","Fri Aug 20 14:01:44 GMT 2021","2758","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Fri Aug 20 14:01:33 GMT 2021","Fri Aug 20 14:01:36 GMT 2021","2426","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Fri Aug 20 14:01:31 GMT 2021","Fri Aug 20 14:01:33 GMT 2021","2289","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Fri Aug 20 14:01:36 GMT 2021","Fri Aug 20 14:01:39 GMT 2021","2653","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Fri Aug 20 14:01:29 GMT 2021","Fri Aug 20 14:01:31 GMT 2021","2333","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Fri Aug 20 14:01:15 GMT 2021","Fri Aug 20 14:01:22 GMT 2021","6800","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"skipped","Fri Aug 20 14:01:41 GMT 2021","Fri Aug 20 14:01:41 GMT 2021","1","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Fri Aug 20 14:01:27 GMT 2021","Fri Aug 20 14:01:29 GMT 2021","2019","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Fri Aug 20 14:01:23 GMT 2021","Fri Aug 20 14:01:25 GMT 2021","1799","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
