"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 15:19:19 GMT 2021","Sun Aug 22 15:19:31 GMT 2021","11750","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Sun Aug 22 15:19:41 GMT 2021","Sun Aug 22 15:19:52 GMT 2021","10460","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Sun Aug 22 15:20:23 GMT 2021","Sun Aug 22 15:20:34 GMT 2021","10438","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Sun Aug 22 15:20:13 GMT 2021","Sun Aug 22 15:20:23 GMT 2021","10371","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Sun Aug 22 15:20:02 GMT 2021","Sun Aug 22 15:20:13 GMT 2021","10437","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Sun Aug 22 15:20:34 GMT 2021","Sun Aug 22 15:20:44 GMT 2021","10540","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Sun Aug 22 15:20:44 GMT 2021","Sun Aug 22 15:20:54 GMT 2021","10358","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Sun Aug 22 15:20:54 GMT 2021","Sun Aug 22 15:21:05 GMT 2021","10702","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Sun Aug 22 15:19:52 GMT 2021","Sun Aug 22 15:20:02 GMT 2021","10424","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"skipped","Sun Aug 22 15:20:54 GMT 2021","Sun Aug 22 15:20:54 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Sun Aug 22 15:19:31 GMT 2021","Sun Aug 22 15:19:41 GMT 2021","10628","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
