"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 11:56:02 GMT 2021","Mon Aug 23 11:56:09 GMT 2021","7187","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 11:57:05 GMT 2021","Mon Aug 23 11:57:08 GMT 2021","2727","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"skipped","Mon Aug 23 11:57:05 GMT 2021","Mon Aug 23 11:57:05 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 11:56:25 GMT 2021","Mon Aug 23 11:56:35 GMT 2021","10732","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 11:55:42 GMT 2021","Mon Aug 23 11:55:51 GMT 2021","9372","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 11:56:47 GMT 2021","Mon Aug 23 11:57:05 GMT 2021","18658","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 11:55:28 GMT 2021","Mon Aug 23 11:55:41 GMT 2021","12770","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 11:55:51 GMT 2021","Mon Aug 23 11:56:02 GMT 2021","10348","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 11:56:16 GMT 2021","Mon Aug 23 11:56:25 GMT 2021","8349","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 11:56:35 GMT 2021","Mon Aug 23 11:56:47 GMT 2021","11166","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Mon Aug 23 11:56:09 GMT 2021","Mon Aug 23 11:56:16 GMT 2021","6970","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
