"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 18:29:19 GMT 2021","Mon Aug 23 18:29:21 GMT 2021","1427","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 18:29:17 GMT 2021","Mon Aug 23 18:29:18 GMT 2021","492","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 18:29:13 GMT 2021","Mon Aug 23 18:29:15 GMT 2021","1523","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 18:29:15 GMT 2021","Mon Aug 23 18:29:15 GMT 2021","525","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 18:29:11 GMT 2021","Mon Aug 23 18:29:13 GMT 2021","2545","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 18:29:17 GMT 2021","Mon Aug 23 18:29:17 GMT 2021","627","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 18:29:21 GMT 2021","Mon Aug 23 18:29:22 GMT 2021","814","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Mon Aug 23 18:29:18 GMT 2021","Mon Aug 23 18:29:19 GMT 2021","1532","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"skipped","Mon Aug 23 18:29:21 GMT 2021","Mon Aug 23 18:29:21 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 18:29:16 GMT 2021","Mon Aug 23 18:29:17 GMT 2021","730","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 18:29:15 GMT 2021","Mon Aug 23 18:29:16 GMT 2021","525","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
