"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 11:31:08 GMT 2021","Mon Aug 23 11:31:24 GMT 2021","15480","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"skipped","Mon Aug 23 11:31:39 GMT 2021","Mon Aug 23 11:31:39 GMT 2021","0","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Mon Aug 23 11:29:19 GMT 2021","Mon Aug 23 11:29:35 GMT 2021","16133","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Mon Aug 23 11:29:51 GMT 2021","Mon Aug 23 11:30:06 GMT 2021","15536","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Mon Aug 23 11:31:24 GMT 2021","Mon Aug 23 11:31:39 GMT 2021","15399","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Mon Aug 23 11:30:53 GMT 2021","Mon Aug 23 11:31:08 GMT 2021","15435","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"broken","Mon Aug 23 11:29:35 GMT 2021","Mon Aug 23 11:29:51 GMT 2021","15620","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Mon Aug 23 11:30:06 GMT 2021","Mon Aug 23 11:30:22 GMT 2021","15473","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Mon Aug 23 11:30:22 GMT 2021","Mon Aug 23 11:30:37 GMT 2021","15507","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
"broken","Mon Aug 23 11:30:37 GMT 2021","Mon Aug 23 11:30:53 GMT 2021","15511","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Mon Aug 23 11:31:39 GMT 2021","Mon Aug 23 11:31:55 GMT 2021","15865","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
